R_Fighter,B_Fighter,R_Status,B_Status,URL,last_round,last_round_time,format,referee,fight_type,date,location,R_KD,B_KD,R_SIG_STR,B_SIG_STR,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR,B_TOTAL_STR,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND
Alex Caceres,Mackens Semerzier,L,W,http://ufcstats.com/fight-details/28f57f60a46654f6,1,3:18,3 Rnd (5-5-5),Mario Yamasaki,Featherweight Bout,"March 26, 2011","Seattle, Washington, USA",0,0,2 of 7,9 of 10,28%,90%,5 of 10,24 of 28,0 of 0,3 of 5,---,60%,0,1,0,0,0:00,2:52,2 of 7,7 of 8,0 of 0,1 of 1,0 of 0,1 of 1,2 of 7,2 of 3,0 of 0,1 of 1,0 of 0,6 of 6
Mario Miranda,Aaron Simpson,L,W,http://ufcstats.com/fight-details/89d39663ff1b890e,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Middleweight Bout,"March 26, 2011","Seattle, Washington, USA",0,0,4 of 4,22 of 29,100%,75%,32 of 34,46 of 62,0 of 0,3 of 8,---,37%,0,0,0,0,0:50,3:47,0 of 0,7 of 14,1 of 1,1 of 1,3 of 3,14 of 14,1 of 1,0 of 4,3 of 3,14 of 14,0 of 0,8 of 11
Ricardo Almeida,Mike Pyle,L,W,http://ufcstats.com/fight-details/a8cf22bc7d05c0a1,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Welterweight Bout,"March 19, 2011","Newark, New Jersey, USA",0,0,14 of 24,11 of 21,58%,52%,19 of 30,27 of 38,0 of 6,0 of 1,0%,0%,0,1,0,0,1:17,0:22,5 of 12,3 of 13,5 of 6,5 of 5,4 of 6,3 of 3,9 of 18,6 of 15,5 of 6,5 of 6,0 of 0,0 of 0
Dan Miller,Nate Marquardt,L,W,http://ufcstats.com/fight-details/376beb49aadb06d6,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Middleweight Bout,"March 19, 2011","Newark, New Jersey, USA",0,0,2 of 4,7 of 11,50%,63%,9 of 12,23 of 29,1 of 4,2 of 2,25%,100%,1,0,0,0,1:10,2:53,1 of 3,6 of 10,1 of 1,1 of 1,0 of 0,0 of 0,1 of 2,1 of 5,1 of 2,2 of 2,0 of 0,4 of 4
Luiz Cane,Eliot Marshall,W,L,http://ufcstats.com/fight-details/e1563825c36aad26,1,2:15,3 Rnd (5-5-5),Dan Miragliotta,Light Heavyweight Bout,"March 19, 2011","Newark, New Jersey, USA",1,0,29 of 63,2 of 7,46%,28%,33 of 72,2 of 7,0 of 0,0 of 2,---,0%,0,0,0,0,0:59,0:00,27 of 61,2 of 7,0 of 0,0 of 0,2 of 2,0 of 0,5 of 14,2 of 7,0 of 0,0 of 0,24 of 49,0 of 0
Kurt Pellegrino,Gleison Tibau,L,W,http://ufcstats.com/fight-details/e595cb4bfc26193b,3,5:00,3 Rnd (5-5-5),Herb Dean,Lightweight Bout,"March 19, 2011","Newark, New Jersey, USA",0,0,17 of 44,9 of 31,38%,29%,34 of 61,17 of 41,0 of 2,0 of 3,0%,0%,0,0,0,0,0:15,1:36,9 of 36,4 of 26,5 of 5,5 of 5,3 of 3,0 of 0,12 of 38,5 of 24,5 of 6,4 of 6,0 of 0,0 of 1
Constantinos Philippou,Nick Catone,L,W,http://ufcstats.com/fight-details/560cec2acc9b0a13,3,5:00,3 Rnd (5-5-5),Keith Peterson,Catch Weight Bout,"March 19, 2011","Newark, New Jersey, USA",0,0,11 of 24,15 of 31,45%,48%,21 of 36,19 of 37,0 of 0,1 of 4,---,25%,0,0,0,0,0:00,1:08,8 of 21,12 of 25,2 of 2,1 of 2,1 of 1,2 of 4,7 of 20,8 of 23,2 of 2,3 of 3,2 of 2,4 of 5
Urijah Faber,Eddie Wineland,W,L,http://ufcstats.com/fight-details/dd3ea525fe1898f1,3,5:00,3 Rnd (5-5-5),Keith Peterson,Bantamweight Bout,"March 19, 2011","Newark, New Jersey, USA",0,0,13 of 26,7 of 23,50%,30%,15 of 28,8 of 24,0 of 6,1 of 3,0%,33%,0,0,0,0,0:00,1:31,8 of 17,5 of 20,4 of 7,1 of 1,1 of 2,1 of 2,9 of 22,4 of 20,4 of 4,2 of 2,0 of 0,1 of 1
Mauricio Rua,Jon Jones,L,W,http://ufcstats.com/fight-details/dc2a3aeac1441991,3,2:37,5 Rnd (5-5-5-5-5),Herb Dean,UFC Light Heavyweight Title Bout,"March 19, 2011","Newark, New Jersey, USA",0,0,5 of 17,25 of 42,29%,59%,5 of 17,31 of 48,0 of 0,1 of 1,---,100%,0,0,0,0,0:02,3:20,5 of 17,15 of 30,0 of 0,7 of 9,0 of 0,3 of 3,5 of 17,10 of 20,0 of 0,5 of 7,0 of 0,10 of 15
Joseph Benavidez,Ian Loveland,W,L,http://ufcstats.com/fight-details/04193f1fff93ddb1,3,5:00,3 Rnd (5-5-5),Kevin Mulhall,Bantamweight Bout,"March 19, 2011","Newark, New Jersey, USA",0,0,20 of 42,19 of 37,47%,51%,28 of 52,20 of 38,0 of 6,0 of 1,0%,0%,0,0,0,0,0:33,0:02,5 of 19,14 of 32,11 of 15,4 of 4,4 of 8,1 of 1,17 of 39,18 of 33,3 of 3,1 of 4,0 of 0,0 of 0
Jim Miller,Kamal Shalorus,W,L,http://ufcstats.com/fight-details/2a28ce0035468735,3,2:15,3 Rnd (5-5-5),Kevin Mulhall,Lightweight Bout,"March 19, 2011","Newark, New Jersey, USA",0,0,20 of 66,18 of 61,30%,29%,35 of 81,26 of 69,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:59,12 of 56,9 of 49,6 of 8,4 of 6,2 of 2,5 of 6,18 of 63,17 of 60,2 of 3,0 of 0,0 of 0,1 of 1
Edson Barboza,Anthony Njokuani,W,L,http://ufcstats.com/fight-details/42e7cc48c31d8f29,3,5:00,3 Rnd (5-5-5),Keith Peterson,Lightweight Bout,"March 19, 2011","Newark, New Jersey, USA",0,0,16 of 44,18 of 61,36%,29%,16 of 44,18 of 61,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,10 of 34,10 of 46,3 of 4,4 of 7,3 of 6,4 of 8,16 of 44,17 of 60,0 of 0,1 of 1,0 of 0,0 of 0
Mirko Filipovic,Brendan Schaub,L,W,http://ufcstats.com/fight-details/077667e3aaf314db,3,3:44,3 Rnd (5-5-5),Herb Dean,Heavyweight Bout,"March 19, 2011","Newark, New Jersey, USA",0,0,5 of 9,21 of 39,55%,53%,12 of 17,54 of 73,0 of 0,1 of 3,---,33%,0,0,0,0,0:39,2:44,3 of 6,17 of 34,2 of 3,3 of 4,0 of 0,1 of 1,1 of 3,1 of 10,4 of 6,10 of 12,0 of 0,10 of 17
Erik Koch,Raphael Assuncao,W,L,http://ufcstats.com/fight-details/18b31990d1808419,1,2:32,3 Rnd (5-5-5),Kevin Mulhall,Featherweight Bout,"March 19, 2011","Newark, New Jersey, USA",1,0,4 of 18,9 of 20,22%,45%,5 of 19,9 of 20,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,2 of 16,3 of 12,1 of 1,3 of 4,1 of 1,3 of 4,4 of 18,9 of 20,0 of 0,0 of 0,0 of 0,0 of 0
Takeya Mizugaki,Reuben Duran,W,L,http://ufcstats.com/fight-details/d59b40be94d5a609,3,5:00,3 Rnd (5-5-5),Herb Dean,Bantamweight Bout,"March 03, 2011","Louisville, Kentucky, USA",0,0,18 of 41,35 of 75,43%,46%,20 of 43,38 of 78,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,7 of 24,31 of 71,1 of 1,3 of 3,10 of 16,1 of 1,18 of 40,32 of 70,0 of 1,3 of 5,0 of 0,0 of 0
Thiago Tavares,Shane Roller,L,W,http://ufcstats.com/fight-details/16b0e962beb6d15e,2,1:28,3 Rnd (5-5-5),Mario Yamasaki,Lightweight Bout,"March 03, 2011","Louisville, Kentucky, USA",0,0,20 of 65,18 of 84,30%,21%,21 of 66,18 of 84,0 of 0,0 of 1,---,0%,0,0,0,0,0:07,0:09,12 of 50,8 of 64,6 of 13,4 of 12,2 of 2,6 of 8,19 of 62,17 of 83,1 of 3,1 of 1,0 of 0,0 of 0
Rob Kimmons,Dongi Yang,L,W,http://ufcstats.com/fight-details/de2513c984996c8c,2,4:47,3 Rnd (5-5-5),Gary Copeland,Middleweight Bout,"March 03, 2011","Louisville, Kentucky, USA",0,1,1 of 10,21 of 23,10%,91%,3 of 12,68 of 76,0 of 0,1 of 1,---,100%,0,2,0,0,0:01,4:15,1 of 10,16 of 18,0 of 0,4 of 4,0 of 0,1 of 1,1 of 8,6 of 6,0 of 2,0 of 0,0 of 0,15 of 17
Steve Cantwell,Cyrille Diabate,L,W,http://ufcstats.com/fight-details/67afd8e69820ffa0,3,5:00,3 Rnd (5-5-5),Herb Dean,Light Heavyweight Bout,"March 03, 2011","Louisville, Kentucky, USA",0,1,7 of 29,34 of 46,24%,73%,11 of 34,45 of 57,1 of 3,0 of 0,33%,---,0,0,0,0,1:24,0:10,2 of 21,19 of 29,2 of 4,8 of 9,3 of 4,7 of 8,5 of 26,28 of 39,1 of 1,5 of 6,1 of 2,1 of 1
Joe Stevenson,Danny Castillo,L,W,http://ufcstats.com/fight-details/bbbb4c62c35f5390,3,5:00,3 Rnd (5-5-5),Gary Copeland,Lightweight Bout,"March 03, 2011","Louisville, Kentucky, USA",0,0,3 of 20,19 of 36,15%,52%,4 of 22,26 of 45,1 of 1,1 of 5,100%,20%,3,0,0,0,1:00,1:30,3 of 19,12 of 29,0 of 0,6 of 6,0 of 1,1 of 1,0 of 16,11 of 24,3 of 4,7 of 11,0 of 0,1 of 1
Igor Pokrajac,Todd Brown,W,L,http://ufcstats.com/fight-details/3ce9e07f51239edd,1,5:00,3 Rnd (5-5-5),Chris Kinman,Light Heavyweight Bout,"March 03, 2011","Louisville, Kentucky, USA",1,0,17 of 38,15 of 23,44%,65%,39 of 60,24 of 32,0 of 0,0 of 3,---,0%,0,0,0,0,0:35,2:06,17 of 38,6 of 14,0 of 0,3 of 3,0 of 0,6 of 6,14 of 35,7 of 15,3 of 3,8 of 8,0 of 0,0 of 0
CB Dollaway,Mark Munoz,L,W,http://ufcstats.com/fight-details/08602f790f09d949,1,0:54,3 Rnd (5-5-5),Mario Yamasaki,Middleweight Bout,"March 03, 2011","Louisville, Kentucky, USA",0,1,2 of 5,4 of 7,40%,57%,2 of 5,4 of 7,1 of 1,0 of 0,100%,---,0,0,0,0,0:12,0:05,0 of 2,4 of 7,1 of 2,0 of 0,1 of 1,0 of 0,1 of 4,1 of 3,0 of 0,1 of 2,1 of 1,2 of 2
David Branch,Rousimar Palhares,L,W,http://ufcstats.com/fight-details/1fa6d636d283ac84,2,1:44,3 Rnd (5-5-5),Mario Yamasaki,Middleweight Bout,"March 03, 2011","Louisville, Kentucky, USA",0,0,3 of 16,0 of 1,18%,0%,14 of 28,2 of 3,1 of 1,0 of 1,100%,0%,0,2,0,0,3:14,0:00,1 of 13,0 of 0,0 of 1,0 of 0,2 of 2,0 of 1,0 of 9,0 of 1,0 of 0,0 of 0,3 of 7,0 of 0
Alessio Sakara,Chris Weidman,L,W,http://ufcstats.com/fight-details/4186686dbd9957cd,3,5:00,3 Rnd (5-5-5),Gary Copeland,Middleweight Bout,"March 03, 2011","Louisville, Kentucky, USA",0,0,10 of 29,14 of 46,34%,30%,10 of 29,16 of 48,0 of 0,0 of 3,---,0%,0,0,0,0,0:00,0:58,5 of 21,10 of 42,2 of 4,0 of 0,3 of 4,4 of 4,10 of 28,12 of 41,0 of 1,2 of 5,0 of 0,0 of 0
Brian Bowles,Damacio Page,W,L,http://ufcstats.com/fight-details/f06030bf27ebe337,1,3:30,3 Rnd (5-5-5),Chris Kinman,Bantamweight Bout,"March 03, 2011","Louisville, Kentucky, USA",0,0,19 of 61,17 of 49,31%,34%,20 of 62,18 of 50,1 of 1,0 of 0,100%,---,1,0,0,0,0:08,0:19,17 of 57,8 of 37,2 of 4,2 of 3,0 of 0,7 of 9,16 of 50,16 of 48,0 of 0,1 of 1,3 of 11,0 of 0
Diego Sanchez,Martin Kampmann,W,L,http://ufcstats.com/fight-details/42536a8cf2eda678,3,5:00,3 Rnd (5-5-5),Herb Dean,Welterweight Bout,"March 03, 2011","Louisville, Kentucky, USA",0,1,10 of 37,32 of 64,27%,50%,10 of 37,33 of 65,0 of 5,0 of 0,0%,---,0,0,0,0,0:32,0:17,5 of 31,30 of 62,4 of 5,2 of 2,1 of 1,0 of 0,8 of 34,25 of 55,2 of 3,7 of 9,0 of 0,0 of 0
Michael Bisping,Jorge Rivera,W,L,http://ufcstats.com/fight-details/0f461c4ddf70eff9,2,1:54,3 Rnd (5-5-5),Marc Goddard,Middleweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,0,15 of 72,4 of 37,20%,10%,20 of 79,5 of 38,3 of 5,0 of 0,60%,---,0,0,0,0,1:07,0:00,12 of 69,4 of 35,2 of 2,0 of 2,1 of 1,0 of 0,10 of 61,4 of 37,1 of 4,0 of 0,4 of 7,0 of 0
George Sotiropoulos,Dennis Siver,L,W,http://ufcstats.com/fight-details/2dd864ec1a1a4031,3,5:00,3 Rnd (5-5-5),Leon Roberts,Lightweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,2,9 of 46,24 of 70,19%,34%,9 of 46,29 of 75,0 of 5,0 of 0,0%,---,0,0,0,0,0:08,0:18,6 of 39,14 of 55,2 of 5,4 of 7,1 of 2,6 of 8,9 of 46,19 of 63,0 of 0,2 of 4,0 of 0,3 of 3
Brian Ebersole,Chris Lytle,W,L,http://ufcstats.com/fight-details/d5e7fe1f5035505c,3,5:00,3 Rnd (5-5-5),Steve Perceval,Welterweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,0,4 of 10,9 of 20,40%,45%,13 of 20,23 of 36,1 of 2,0 of 0,50%,---,0,3,0,1,2:00,1:06,3 of 7,4 of 13,0 of 0,5 of 7,1 of 3,0 of 0,2 of 6,7 of 18,0 of 1,2 of 2,2 of 3,0 of 0
Zhang Tiequan,Jason Reinhardt,W,L,http://ufcstats.com/fight-details/5b6796a9194d339b,1,0:48,3 Rnd (5-5-5),Steve Perceval,Featherweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,0,4 of 11,2 of 6,36%,33%,4 of 11,2 of 6,0 of 0,0 of 0,---,---,1,0,0,0,0:00,0:09,4 of 11,1 of 5,0 of 0,0 of 0,0 of 0,1 of 1,4 of 10,2 of 5,0 of 1,0 of 1,0 of 0,0 of 0
Alexander Gustafsson,James Te Huna,W,L,http://ufcstats.com/fight-details/fec8b9760d6bb235,1,4:27,3 Rnd (5-5-5),Marc Goddard,Light Heavyweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,0,4 of 9,6 of 6,44%,100%,17 of 22,34 of 34,1 of 2,1 of 4,50%,25%,2,0,0,0,0:58,2:54,4 of 9,6 of 6,0 of 0,0 of 0,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0,0 of 0,4 of 6,6 of 6
Nick Ring,Riki Fukuda,W,L,http://ufcstats.com/fight-details/ae07b35f2797242e,3,5:00,3 Rnd (5-5-5),Leon Roberts,Middleweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,0,19 of 44,9 of 22,43%,40%,19 of 44,13 of 26,0 of 0,2 of 3,---,66%,0,0,0,0,0:00,1:29,6 of 26,7 of 18,2 of 3,0 of 0,11 of 15,2 of 4,17 of 42,9 of 22,2 of 2,0 of 0,0 of 0,0 of 0
Chris Camozzi,Kyle Noke,L,W,http://ufcstats.com/fight-details/76e6177c401f2176,1,1:35,3 Rnd (5-5-5),John Sharp,Middleweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,0,4 of 7,4 of 10,57%,40%,4 of 7,4 of 10,0 of 1,1 of 1,0%,100%,0,1,0,0,0:39,0:00,0 of 3,2 of 8,2 of 2,1 of 1,2 of 2,1 of 1,4 of 7,3 of 9,0 of 0,0 of 0,0 of 0,1 of 1
Tom Blackledge,Anthony Perosh,L,W,http://ufcstats.com/fight-details/e4b5f0358ce7bad4,1,2:45,3 Rnd (5-5-5),John Sharp,Light Heavyweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,0,8 of 13,7 of 13,61%,53%,8 of 13,11 of 18,0 of 0,1 of 4,---,25%,0,1,0,0,0:09,1:08,6 of 11,7 of 13,1 of 1,0 of 0,1 of 1,0 of 0,4 of 9,3 of 6,0 of 0,0 of 0,4 of 4,4 of 7
Maciej Jewtuszko,Curt Warburton,L,W,http://ufcstats.com/fight-details/062816ff1b591bbb,3,5:00,3 Rnd (5-5-5),Steve Perceval,Lightweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,0,1 of 4,3 of 19,25%,15%,5 of 8,26 of 52,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,3:49,0 of 3,3 of 17,1 of 1,0 of 0,0 of 0,0 of 2,1 of 4,0 of 7,0 of 0,0 of 0,0 of 0,3 of 12
Mark Hunt,Chris Tuchscherer,W,L,http://ufcstats.com/fight-details/6ac1478baeddaae8,2,1:41,3 Rnd (5-5-5),John Sharp,Heavyweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,0,9 of 29,7 of 27,31%,25%,19 of 42,20 of 42,0 of 0,1 of 2,---,50%,0,0,0,0,0:00,1:45,9 of 28,6 of 26,0 of 1,1 of 1,0 of 0,0 of 0,8 of 27,5 of 25,1 of 2,1 of 1,0 of 0,1 of 1
Ross Pearson,Spencer Fisher,W,L,http://ufcstats.com/fight-details/72372c31dee3cadc,3,5:00,3 Rnd (5-5-5),Herb Dean,Lightweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,0,15 of 57,19 of 45,26%,42%,15 of 57,20 of 46,0 of 1,1 of 1,0%,100%,0,0,0,0,0:05,0:17,12 of 50,8 of 33,1 of 3,1 of 2,2 of 4,10 of 10,14 of 55,17 of 42,1 of 2,1 of 2,0 of 0,1 of 1
BJ Penn,Jon Fitch,D,D,http://ufcstats.com/fight-details/f825e17e7a1332cd,3,5:00,3 Rnd (5-5-5),Herb Dean,Welterweight Bout,"February 26, 2011","Sydney, New South Wales, Australia",0,0,6 of 10,7 of 16,60%,43%,28 of 32,23 of 33,1 of 2,0 of 5,50%,0%,1,0,0,1,2:27,2:25,4 of 8,1 of 9,0 of 0,5 of 6,2 of 2,1 of 1,0 of 1,1 of 1,5 of 7,6 of 12,1 of 2,0 of 3
Paul Taylor,Gabe Ruediger,W,L,http://ufcstats.com/fight-details/95f136c07f9834be,2,1:42,3 Rnd (5-5-5),Kim Winslow,Lightweight Bout,"February 05, 2011","Las Vegas, Nevada, USA",0,0,23 of 37,13 of 33,62%,39%,29 of 44,43 of 65,0 of 1,0 of 3,0%,0%,0,0,0,0,2:35,0:51,19 of 32,6 of 23,2 of 2,5 of 6,2 of 3,2 of 4,18 of 30,7 of 24,5 of 7,6 of 9,0 of 0,0 of 0
Jake Ellenberger,Carlos Eduardo Rocha,W,L,http://ufcstats.com/fight-details/d1cda3a0c148b725,3,5:00,3 Rnd (5-5-5),Kim Winslow,Welterweight Bout,"February 05, 2011","Las Vegas, Nevada, USA",0,0,5 of 11,3 of 10,45%,30%,13 of 21,9 of 17,1 of 2,0 of 3,50%,0%,0,2,0,1,0:22,3:35,2 of 7,1 of 7,2 of 3,2 of 3,1 of 1,0 of 0,1 of 4,1 of 7,3 of 6,1 of 1,1 of 1,1 of 2
Mike Pierce,Kenny Robertson,W,L,http://ufcstats.com/fight-details/791b8b3a475487e9,2,0:29,3 Rnd (5-5-5),Herb Dean,Welterweight Bout,"February 05, 2011","Las Vegas, Nevada, USA",0,0,9 of 23,12 of 31,39%,38%,22 of 36,24 of 46,2 of 4,0 of 0,50%,---,1,0,0,0,3:48,0:13,5 of 19,3 of 17,3 of 3,9 of 13,1 of 1,0 of 1,4 of 13,1 of 13,4 of 9,11 of 18,1 of 1,0 of 0
Donald Cerrone,Paul Kelly,W,L,http://ufcstats.com/fight-details/6b7033df94818cee,2,3:48,3 Rnd (5-5-5),Steve Mazzagatti,Lightweight Bout,"February 05, 2011","Las Vegas, Nevada, USA",0,0,20 of 40,12 of 41,50%,29%,31 of 53,13 of 42,2 of 3,0 of 0,66%,---,0,1,0,0,1:56,0:00,6 of 25,11 of 38,8 of 9,1 of 3,6 of 6,0 of 0,15 of 31,11 of 36,1 of 2,1 of 3,4 of 7,0 of 2
Anderson Silva,Vitor Belfort,W,L,http://ufcstats.com/fight-details/87c73e2086214b5c,1,3:25,5 Rnd (5-5-5-5-5),Mario Yamasaki,UFC Middleweight Title Bout,"February 05, 2011","Las Vegas, Nevada, USA",1,0,6 of 10,6 of 15,60%,40%,6 of 10,6 of 15,0 of 0,0 of 0,---,---,0,0,0,0,0:05,0:03,4 of 8,4 of 13,0 of 0,0 of 0,2 of 2,2 of 2,3 of 7,5 of 12,1 of 1,1 of 2,2 of 2,0 of 1
Norifumi Yamamoto,Demetrious Johnson,L,W,http://ufcstats.com/fight-details/20aa994cd23074b9,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Bantamweight Bout,"February 05, 2011","Las Vegas, Nevada, USA",0,0,8 of 22,16 of 35,36%,45%,8 of 22,27 of 46,0 of 0,3 of 4,---,75%,0,0,0,0,0:21,1:13,5 of 19,7 of 23,2 of 2,7 of 7,1 of 1,2 of 5,6 of 19,6 of 24,2 of 3,8 of 9,0 of 0,2 of 2
Forrest Griffin,Rich Franklin,W,L,http://ufcstats.com/fight-details/d2246624da1c4e38,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Light Heavyweight Bout,"February 05, 2011","Las Vegas, Nevada, USA",0,0,12 of 30,2 of 2,40%,100%,82 of 118,8 of 9,1 of 1,0 of 0,100%,---,0,0,0,0,4:31,0:00,9 of 27,0 of 0,2 of 2,1 of 1,1 of 1,1 of 1,1 of 3,2 of 2,0 of 0,0 of 0,11 of 27,0 of 0
Chad Mendes,Michihiro Omigawa,W,L,http://ufcstats.com/fight-details/ae3ab5d1892153ef,3,5:00,3 Rnd (5-5-5),Herb Dean,Featherweight Bout,"February 05, 2011","Las Vegas, Nevada, USA",0,0,17 of 46,3 of 25,36%,12%,20 of 50,8 of 33,1 of 3,0 of 0,33%,---,0,1,0,0,1:16,0:00,9 of 36,2 of 24,0 of 2,0 of 0,8 of 8,1 of 1,17 of 45,3 of 25,0 of 0,0 of 0,0 of 1,0 of 0
Miguel Torres,Antonio Banuelos,W,L,http://ufcstats.com/fight-details/ce6f4d06fe5b51f3,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Bantamweight Bout,"February 05, 2011","Las Vegas, Nevada, USA",0,0,20 of 43,2 of 27,46%,7%,20 of 43,2 of 27,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:01,15 of 38,2 of 22,1 of 1,0 of 3,4 of 4,0 of 2,20 of 43,2 of 27,0 of 0,0 of 0,0 of 0,0 of 0
Jon Jones,Ryan Bader,W,L,http://ufcstats.com/fight-details/65ce293c20bd25e2,2,4:20,3 Rnd (5-5-5),Herb Dean,Light Heavyweight Bout,"February 05, 2011","Las Vegas, Nevada, USA",0,0,12 of 17,0 of 7,70%,0%,21 of 27,2 of 9,1 of 1,0 of 1,100%,0%,1,0,0,0,3:39,0:00,3 of 8,0 of 7,9 of 9,0 of 0,0 of 0,0 of 0,2 of 4,0 of 7,0 of 0,0 of 0,10 of 13,0 of 0
Kyle Kingsbury,Ricardo Romero,W,L,http://ufcstats.com/fight-details/c1843fa8f113d321,1,0:21,3 Rnd (5-5-5),Steve Mazzagatti,Light Heavyweight Bout,"February 05, 2011","Las Vegas, Nevada, USA",1,0,9 of 13,1 of 3,69%,33%,12 of 16,1 of 3,0 of 0,0 of 0,---,---,0,0,0,0,0:07,0:00,5 of 9,1 of 3,3 of 3,0 of 0,1 of 1,0 of 0,2 of 3,1 of 3,5 of 6,0 of 0,2 of 4,0 of 0
Rani Yahya,Mike Brown,W,L,http://ufcstats.com/fight-details/ba5b23e7ef308883,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Featherweight Bout,"January 22, 2011","Killeen, Texas, USA",0,0,9 of 16,3 of 6,56%,50%,27 of 42,12 of 18,2 of 4,0 of 0,50%,---,1,0,0,0,3:30,0:04,0 of 3,3 of 6,4 of 7,0 of 0,5 of 6,0 of 0,7 of 13,0 of 3,0 of 0,0 of 0,2 of 3,3 of 3
Charlie Brenneman,Amilcar Alves,W,L,http://ufcstats.com/fight-details/986bc0ce25dac848,3,5:00,3 Rnd (5-5-5),Jon Schorle,Welterweight Bout,"January 22, 2011","Killeen, Texas, USA",0,0,17 of 18,2 of 3,94%,66%,56 of 67,9 of 11,1 of 2,0 of 0,50%,---,0,0,0,0,4:29,0:00,1 of 2,1 of 2,3 of 3,1 of 1,13 of 13,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,17 of 18,1 of 2
Cole Miller,Matt Wiman,L,W,http://ufcstats.com/fight-details/dc58af0c02a42743,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Lightweight Bout,"January 22, 2011","Killeen, Texas, USA",0,0,13 of 31,26 of 61,41%,42%,21 of 41,33 of 73,0 of 0,0 of 0,---,---,0,0,0,0,0:02,2:35,7 of 24,18 of 51,6 of 7,0 of 0,0 of 0,8 of 10,2 of 17,12 of 36,10 of 13,5 of 7,1 of 1,9 of 18
DaMarques Johnson,Mike Guymon,W,L,http://ufcstats.com/fight-details/a245b4d0a7861fb8,1,3:22,3 Rnd (5-5-5),Don Turnage,Welterweight Bout,"January 22, 2011","Killeen, Texas, USA",0,0,2 of 4,1 of 1,50%,100%,11 of 13,10 of 10,1 of 1,0 of 1,100%,0%,0,0,0,0,3:06,0:00,2 of 4,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 1,1 of 1,0 of 0,0 of 0,2 of 3,0 of 0
Matt Mitrione,Tim Hague,W,L,http://ufcstats.com/fight-details/a60ba933a7ea898e,1,2:59,3 Rnd (5-5-5),Dan Miragliotta,Heavyweight Bout,"January 22, 2011","Killeen, Texas, USA",2,0,16 of 27,3 of 8,59%,37%,17 of 28,4 of 9,0 of 0,0 of 3,---,0%,0,0,0,0,0:14,0:33,11 of 21,0 of 4,0 of 0,0 of 1,5 of 6,3 of 3,10 of 20,3 of 8,1 of 1,0 of 0,5 of 6,0 of 0
Will Campuzano,Chris Cariaso,L,W,http://ufcstats.com/fight-details/89cb6801b51f2216,3,5:00,3 Rnd (5-5-5),Don Turnage,Bantamweight Bout,"January 22, 2011","Killeen, Texas, USA",0,0,21 of 42,23 of 43,50%,53%,23 of 45,23 of 43,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,15 of 33,10 of 29,5 of 8,8 of 9,1 of 1,5 of 5,19 of 40,22 of 42,2 of 2,1 of 1,0 of 0,0 of 0
Cody McKenzie,Yves Edwards,L,W,http://ufcstats.com/fight-details/ab8b506dd2277da3,2,4:33,3 Rnd (5-5-5),Jon Schorle,Lightweight Bout,"January 22, 2011","Killeen, Texas, USA",0,0,9 of 50,18 of 42,18%,42%,9 of 50,22 of 46,1 of 7,0 of 0,14%,---,0,0,0,0,0:45,0:59,6 of 44,7 of 29,1 of 3,6 of 7,2 of 3,5 of 6,9 of 47,15 of 38,0 of 3,2 of 3,0 of 0,1 of 1
